U.S. Census Bureau,,
Source: Manufacturers' Shipments, Inventories, and Orders
Automobile Manufacturing: U.S. Total,,
Not Seasonally Adjusted Value of Shipments [Millions of Dollars],,
Period: 2019 to 2024,,
,,
,,
Period,Value,
19-Jan,7895,
19-Feb,8029,
19-Mar,8935,
19-Apr,7702,
19-May,8324,
19-Jun,8102,
19-Jul,6037,
19-Aug,8156,
19-Sep,7549,
19-Oct,8116,
19-Nov,7634,
19-Dec,6754,
20-Jan,7673,
20-Feb,8748,
20-Mar,6587,
20-Apr,548,
20-May,1937,
20-Jun,7525,
20-Jul,8490,
20-Aug,9088,
20-Sep,9749,
20-Oct,9655,
20-Nov,8630,
20-Dec,8237,
21-Jan,6993,
21-Feb,7167,
21-Mar,8189,
21-Apr,6580,
21-May,6804,
21-Jun,7200,
21-Jul,6092,
21-Aug,7561,
21-Sep,6496,
21-Oct,7425,
21-Nov,7235,
21-Dec,7815,
22-Jan,6167,
22-Feb,6972,
22-Mar,9997,
22-Apr,8177,
22-May,7659,
22-Jun,8258,
22-Jul,6647,
22-Aug,9545,
22-Sep,8953,
22-Oct,8739,
22-Nov,8574,
22-Dec,8152,
23-Jan,6987,
23-Feb,8183,
23-Mar,10826,
23-Apr,8457,
23-May,9430,
23-Jun,9442,
23-Jul,7096,
23-Aug,10886,
23-Sep,10002,
23-Oct,10050,
23-Nov,9526,
23-Dec,8580,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
